escu_detection,mitre_attack
"ESCU - Cisco ASA - AAA Policy Tampering - Rule","T1556.004"
"ESCU - Cisco ASA - Core Syslog Message Volume Drop - Rule","T1562"
"ESCU - Cisco ASA - Device File Copy Activity - Rule","T1005|T1530"
"ESCU - Cisco ASA - Device File Copy to Remote Location - Rule","T1005|T1041|T1048.003"
"ESCU - Cisco ASA - Logging Disabled via CLI - Rule","T1562"
"ESCU - Cisco ASA - Logging Filters Configuration Tampering - Rule","T1562"
"ESCU - Cisco ASA - Logging Message Suppression - Rule","T1070|T1562.002"
"ESCU - Cisco ASA - New Local User Account Created - Rule","T1078.003|T1136.001"
"ESCU - Cisco ASA - Packet Capture Activity - Rule","T1040|T1557"
"ESCU - Cisco ASA - Reconnaissance Command Activity - Rule","T1082|T1590.001|T1590.005"
"ESCU - Cisco ASA - User Account Deleted From Local Database - Rule","T1070.008|T1531"
"ESCU - Cisco ASA - User Account Lockout Threshold Exceeded - Rule","T1110.001|T1110.003"
"ESCU - Cisco ASA - User Privilege Level Change - Rule","T1078.003|T1098"
"ESCU - Cisco Duo Admin Login Unusual Browser - Rule","T1556"
"ESCU - Cisco Duo Admin Login Unusual Country - Rule","T1556"
"ESCU - Cisco Duo Admin Login Unusual Os - Rule","T1556"
"ESCU - Cisco Duo Bulk Policy Deletion - Rule","T1556"
"ESCU - Cisco Duo Bypass Code Generation - Rule","T1556"
"ESCU - Cisco Duo Policy Allow Devices Without Screen Lock - Rule","T1556"
"ESCU - Cisco Duo Policy Allow Network Bypass 2FA - Rule","T1556"
"ESCU - Cisco Duo Policy Allow Old Flash - Rule","T1556"
"ESCU - Cisco Duo Policy Allow Old Java - Rule","T1556"
"ESCU - Cisco Duo Policy Allow Tampered Devices - Rule","T1556"
"ESCU - Cisco Duo Policy Bypass 2FA - Rule","T1556"
"ESCU - Cisco Duo Policy Deny Access - Rule","T1556"
"ESCU - Cisco Duo Policy Skip 2FA for Other Countries - Rule","T1556"
"ESCU - Cisco Duo Set User Status to Bypass 2FA - Rule","T1556"
"ESCU - CrushFTP Server Side Template Injection - Rule","T1190"
"ESCU - Detect Distributed Password Spray Attempts - Rule","T1110.003"
"ESCU - Detect HTML Help Spawn Child Process - Rule","T1218.001"
"ESCU - Detect Password Spray Attempts - Rule","T1110.003"
"ESCU - Email files written outside of the Outlook directory - Rule","T1114.001"
"ESCU - Email servers sending high volume traffic to hosts - Rule","T1114.002"
"ESCU - ESXi Account Modified - Rule","T1078|T1098|T1136.001"
"ESCU - ESXi Audit Tampering - Rule","T1070|T1562.003"
"ESCU - ESXi Bulk VM Termination - Rule","T1499|T1529|T1673"
"ESCU - ESXi Download Errors - Rule","T1562.001|T1601.001"
"ESCU - ESXi Encryption Settings Modified - Rule","T1562"
"ESCU - ESXi External Root Login Activity - Rule","T1078"
"ESCU - ESXi Firewall Disabled - Rule","T1562.004"
"ESCU - ESXi Lockdown Mode Disabled - Rule","T1562"
"ESCU - ESXi Loghost Config Tampering - Rule","T1562"
"ESCU - ESXi Malicious VIB Forced Install - Rule","T1505.006"
"ESCU - ESXi Reverse Shell Patterns - Rule","T1059"
"ESCU - ESXi Sensitive Files Accessed - Rule","T1003.008|T1005"
"ESCU - ESXi Shared or Stolen Root Account - Rule","T1078"
"ESCU - ESXi Shell Access Enabled - Rule","T1021"
"ESCU - ESXi SSH Brute Force - Rule","T1110"
"ESCU - ESXi SSH Enabled - Rule","T1021.004"
"ESCU - ESXi Syslog Config Change - Rule","T1562.003"
"ESCU - ESXi System Clock Manipulation - Rule","T1070.006"
"ESCU - ESXi System Information Discovery - Rule","T1082"
"ESCU - ESXi User Granted Admin Role - Rule","T1078|T1098"
"ESCU - ESXi VIB Acceptance Level Tampering - Rule","T1562"
"ESCU - ESXi VM Discovery - Rule","T1673"
"ESCU - ESXi VM Exported via Remote Tool - Rule","T1005"
"ESCU - Ivanti VTM New Account Creation - Rule","T1190"
"ESCU - M365 Copilot Agentic Jailbreak Attack - Rule","T1562"
"ESCU - M365 Copilot Application Usage Pattern Anomalies - Rule","T1078"
"ESCU - M365 Copilot Failed Authentication Patterns - Rule","T1110"
"ESCU - M365 Copilot Impersonation Jailbreak Attack - Rule","T1562"
"ESCU - M365 Copilot Information Extraction Jailbreak Attack - Rule","T1562"
"ESCU - M365 Copilot Jailbreak Attempts - Rule","T1562.001"
"ESCU - M365 Copilot Non Compliant Devices Accessing M365 Copilot - Rule","T1562"
"ESCU - M365 Copilot Session Origin Anomalies - Rule","T1078"
"ESCU - Okta Authentication Failed During MFA Challenge - Rule","T1078.004|T1586.003|T1621"
"ESCU - Okta IDP Lifecycle Modifications - Rule","T1087.004"
"ESCU - Okta MFA Exhaustion Hunt - Rule","T1110"
"ESCU - Okta Mismatch Between Source and Response for Verify Push Request - Rule","T1621"
"ESCU - Okta Multi-Factor Authentication Disabled - Rule","T1556.006"
"ESCU - Okta Multiple Accounts Locked Out - Rule","T1110"
"ESCU - Okta Multiple Failed MFA Requests For User - Rule","T1621"
"ESCU - Okta Multiple Failed Requests to Access Applications - Rule","T1538|T1550.004"
"ESCU - Okta Multiple Users Failing To Authenticate From Ip - Rule","T1110.003"
"ESCU - Okta New API Token Created - Rule","T1078.001"
"ESCU - Okta New Device Enrolled on Account - Rule","T1098.005"
"ESCU - Okta Phishing Detection with FastPass Origin Check - Rule","T1078.001|T1556"
"ESCU - Okta Risk Threshold Exceeded - Rule","T1078|T1110"
"ESCU - Okta Successful Single Factor Authentication - Rule","T1078.004|T1586.003|T1621"
"ESCU - Okta Suspicious Activity Reported - Rule","T1078.001"
"ESCU - Okta Suspicious Use of a Session Cookie - Rule","T1539"
"ESCU - Okta ThreatInsight Threat Detected - Rule","T1078.004"
"ESCU - Okta Unauthorized Access to Application - Rule","T1087.004"
"ESCU - Okta User Logins from Multiple Cities - Rule","T1586.003"
"ESCU - Ollama Abnormal Network Connectivity - Rule","T1571"
"ESCU - Ollama Abnormal Service Crash Availability Attack - Rule","T1489"
"ESCU - Ollama Excessive API Requests - Rule","T1498"
"ESCU - Ollama Possible API Endpoint Scan Reconnaissance - Rule","T1595"
"ESCU - Ollama Possible Memory Exhaustion Resource Abuse - Rule","T1499"
"ESCU - Ollama Possible Model Exfiltration Data Leakage - Rule","T1048"
"ESCU - Ollama Possible RCE via Model Loading - Rule","T1190"
"ESCU - Ollama Suspicious Prompt Injection Jailbreak - Rule","T1059|T1190"
"ESCU - PingID Mismatch Auth Source and Verification Response - Rule","T1098.005|T1556.006|T1621"
"ESCU - PingID Multiple Failed MFA Requests For User - Rule","T1078|T1110|T1621"
"ESCU - PingID New MFA Method After Credential Reset - Rule","T1098.005|T1556.006|T1621"
"ESCU - PingID New MFA Method Registered For User - Rule","T1098.005|T1556.006|T1621"
"ESCU - Suspicious Email Attachment Extensions - Rule","T1566.001"
"ESCU - Zoom High Video Latency - Rule","T1078"
"ESCU - Zoom Rare Audio Devices - Rule","T1123"
"ESCU - Zoom Rare Input Devices - Rule","T1123"
"ESCU - Zoom Rare Video Devices - Rule","T1123"
"ESCU - Abnormally High Number Of Cloud Infrastructure API Calls - Rule","T1078.004"
"ESCU - Abnormally High Number Of Cloud Instances Destroyed - Rule","T1078.004"
"ESCU - Abnormally High Number Of Cloud Instances Launched - Rule","T1078.004"
"ESCU - Abnormally High Number Of Cloud Security Group API Calls - Rule","T1078.004"
"ESCU - Amazon EKS Kubernetes cluster scan detection - Rule","T1526"
"ESCU - Amazon EKS Kubernetes Pod scan detection - Rule","T1526"
"ESCU - ASL AWS Concurrent Sessions From Different Ips - Rule","T1185"
"ESCU - ASL AWS Create Access Key - Rule","T1136.003"
"ESCU - ASL AWS Create Policy Version to allow all resources - Rule","T1078.004"
"ESCU - ASL AWS Credential Access GetPasswordData - Rule","T1110.001|T1586.003"
"ESCU - ASL AWS Credential Access RDS Password reset - Rule","T1110|T1586.003"
"ESCU - ASL AWS Defense Evasion Delete Cloudtrail - Rule","T1562.008"
"ESCU - ASL AWS Defense Evasion Delete CloudWatch Log Group - Rule","T1562.008"
"ESCU - ASL AWS Defense Evasion Impair Security Services - Rule","T1562.008"
"ESCU - ASL AWS Defense Evasion PutBucketLifecycle - Rule","T1485.001|T1562.008"
"ESCU - ASL AWS Defense Evasion Stop Logging Cloudtrail - Rule","T1562.008"
"ESCU - ASL AWS Defense Evasion Update Cloudtrail - Rule","T1562.008"
"ESCU - ASL AWS Detect Users creating keys with encrypt policy without MFA - Rule","T1486"
"ESCU - ASL AWS Disable Bucket Versioning - Rule","T1490"
